WRID,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
1.0,Ja'Marr Chase (CIN),127.0,175.0,"1,708",13.4,70.0,19.0,17.0,3.0,32.0,0.0,0.0,17.0,403.0,23.7,99.0%
2.0,Justin Jefferson (MIN),103.0,154.0,"1,533",14.9,97.0,28.0,10.0,1.0,3.0,0.0,0.0,17.0,317.5,18.7,98.8%
3.0,Amon-Ra St. Brown (DET),115.0,141.0,"1,263",11.0,66.0,14.0,12.0,2.0,6.0,0.0,1.0,17.0,316.2,18.6,99.1%
4.0,Brian Thomas Jr. (JAC),87.0,133.0,"1,282",14.7,85.0,18.0,10.0,6.0,48.0,0.0,0.0,17.0,284.0,16.7,98.5%
5.0,Drake London (ATL),100.0,158.0,"1,271",12.7,39.0,12.0,9.0,1.0,-3.0,0.0,0.0,17.0,280.8,16.5,97.7%
6.0,Malik Nabers (NYG),109.0,170.0,"1,204",11.0,59.0,16.0,7.0,5.0,2.0,0.0,0.0,15.0,273.6,18.2,98.8%
7.0,Terry McLaurin (WAS),82.0,117.0,"1,096",13.4,86.0,12.0,13.0,2.0,2.0,0.0,1.0,17.0,267.8,15.8,97.5%
8.0,CeeDee Lamb (DAL),101.0,152.0,"1,194",11.8,65.0,16.0,6.0,14.0,70.0,0.0,1.0,15.0,263.4,17.6,98.4%
9.0,Jaxon Smith-Njigba (SEA),100.0,137.0,"1,130",11.3,46.0,14.0,6.0,5.0,26.0,0.0,0.0,17.0,253.0,14.9,96.4%
10.0,Garrett Wilson (NYJ),101.0,154.0,"1,104",10.9,42.0,16.0,7.0,2.0,5.0,0.0,2.0,17.0,251.9,14.8,95.8%
11.0,Davante Adams (LAR),85.0,141.0,"1,063",12.5,71.0,16.0,8.0,0.0,0.0,0.0,0.0,14.0,241.3,17.2,96.4%
12.0,Ladd McConkey (LAC),82.0,112.0,"1,149",14.0,60.0,15.0,7.0,0.0,0.0,0.0,0.0,16.0,240.9,15.1,97.6%
13.0,Jerry Jeudy (CLE),90.0,145.0,"1,229",13.7,89.0,13.0,4.0,0.0,0.0,0.0,0.0,17.0,240.9,14.2,89.4%
14.0,Mike Evans (TB),74.0,110.0,"1,004",13.6,57.0,15.0,11.0,0.0,0.0,0.0,0.0,14.0,240.4,17.2,96.8%
15.0,Courtland Sutton (DEN),81.0,135.0,"1,081",13.3,47.0,17.0,8.0,0.0,0.0,0.0,1.0,17.0,240.3,14.1,91.6%
16.0,DJ Moore (CHI),98.0,140.0,966,9.9,44.0,11.0,6.0,14.0,75.0,0.0,1.0,17.0,238.1,14.0,95.1%
17.0,Tee Higgins (CIN),73.0,109.0,911,12.5,42.0,12.0,10.0,0.0,0.0,0.0,1.0,12.0,222.1,18.5,97.5%
18.0,Tyreek Hill (MIA),81.0,123.0,959,11.8,80.0,13.0,6.0,8.0,53.0,0.0,0.0,17.0,218.2,12.8,96.7%
19.0,Jakobi Meyers (LV),87.0,129.0,"1,027",11.8,43.0,16.0,4.0,2.0,23.0,0.0,0.0,15.0,218.0,14.5,85.3%
20.0,A.J. Brown (PHI),67.0,97.0,"1,079",16.1,67.0,17.0,7.0,0.0,0.0,0.0,0.0,13.0,216.9,16.7,98.7%
21.0,Jordan Addison (MIN),63.0,99.0,875,13.9,69.0,13.0,9.0,3.0,20.0,1.0,0.0,15.0,212.5,14.2,89.2%
22.0,Jameson Williams (DET),58.0,91.0,"1,001",17.3,82.0,17.0,7.0,11.0,61.0,1.0,0.0,15.0,212.2,14.1,90.3%
23.0,Nico Collins (HOU),68.0,99.0,"1,006",14.8,67.0,14.0,7.0,0.0,0.0,0.0,0.0,12.0,210.6,17.6,98.8%
24.0,Jauan Jennings (SF),77.0,113.0,975,12.7,45.0,12.0,6.0,0.0,0.0,0.0,0.0,15.0,210.5,14.0,83.1%
25.0,Zay Flowers (BAL),74.0,116.0,"1,059",14.3,53.0,19.0,4.0,9.0,56.0,0.0,0.0,17.0,209.5,12.3,94.0%
26.0,Puka Nacua (LAR),79.0,106.0,990,12.5,51.0,11.0,3.0,11.0,46.0,1.0,0.0,11.0,206.6,18.8,98.7%
27.0,DeVonta Smith (PHI),68.0,89.0,833,12.3,49.0,14.0,8.0,1.0,1.0,0.0,0.0,13.0,199.4,15.3,92.5%
28.0,Calvin Ridley (TEN),64.0,120.0,"1,017",15.9,63.0,19.0,4.0,8.0,55.0,1.0,1.0,17.0,199.2,11.7,87.4%
29.0,Jayden Reed (GB),55.0,75.0,857,15.6,70.0,15.0,6.0,20.0,163.0,1.0,1.0,17.0,197.0,11.6,84.0%
30.0,Marvin Harrison Jr. (ARI),62.0,116.0,885,14.3,60.0,14.0,8.0,0.0,0.0,0.0,1.0,17.0,196.5,11.6,95.0%
31.0,Darnell Mooney (ATL),64.0,106.0,992,15.5,49.0,21.0,5.0,0.0,0.0,0.0,0.0,16.0,193.2,12.1,65.9%
32.0,DK Metcalf (PIT),66.0,108.0,992,15.0,71.0,20.0,5.0,0.0,0.0,0.0,2.0,15.0,191.2,12.7,94.5%
33.0,Xavier Worthy (KC),59.0,98.0,638,10.8,54.0,4.0,6.0,20.0,104.0,3.0,0.0,17.0,187.2,11.0,95.3%
34.0,Keenan Allen (FA),70.0,121.0,744,10.6,45.0,9.0,7.0,0.0,0.0,0.0,0.0,15.0,185.4,12.4,53.3%
35.0,Josh Downs (IND),72.0,107.0,803,11.2,69.0,10.0,5.0,1.0,12.0,0.0,0.0,14.0,183.5,13.1,74.0%
36.0,Wan'Dale Robinson (NYG),93.0,140.0,699,7.5,35.0,4.0,3.0,3.0,18.0,0.0,0.0,17.0,182.7,10.7,32.6%
37.0,Khalil Shakir (BUF),76.0,100.0,821,10.8,52.0,9.0,4.0,2.0,4.0,0.0,0.0,15.0,182.5,12.2,86.0%
38.0,Cooper Kupp (SEA),67.0,100.0,710,10.6,69.0,10.0,6.0,2.0,10.0,0.0,0.0,12.0,175.0,14.6,88.4%
39.0,Quentin Johnston (LAC),55.0,91.0,711,12.9,66.0,12.0,8.0,3.0,6.0,0.0,0.0,15.0,174.7,11.6,48.2%
40.0,Rashod Bateman (BAL),45.0,72.0,756,16.8,59.0,11.0,9.0,0.0,0.0,0.0,0.0,17.0,174.6,10.3,57.9%
41.0,Michael Pittman Jr. (IND),69.0,111.0,808,11.7,33.0,12.0,3.0,0.0,0.0,0.0,1.0,16.0,165.8,10.4,83.0%
42.0,George Pickens (DAL),59.0,103.0,900,15.3,44.0,17.0,3.0,2.0,-6.0,0.0,1.0,14.0,164.4,11.7,91.1%
43.0,Alec Pierce (IND),37.0,69.0,824,22.3,65.0,13.0,7.0,0.0,0.0,0.0,0.0,16.0,161.4,10.1,29.7%
44.0,Deebo Samuel Sr. (WAS),51.0,81.0,670,13.1,76.0,10.0,3.0,42.0,136.0,1.0,1.0,15.0,153.6,10.2,87.6%
45.0,Jalen Tolbert (DAL),49.0,79.0,610,12.4,48.0,8.0,7.0,0.0,0.0,0.0,0.0,17.0,152.0,8.9,21.2%
46.0,Jaylen Waddle (MIA),58.0,83.0,744,12.8,63.0,12.0,2.0,4.0,12.0,0.0,0.0,16.0,149.6,9.4,90.1%
47.0,DeMario Douglas (NE),66.0,87.0,621,9.4,36.0,8.0,3.0,3.0,16.0,0.0,0.0,17.0,147.7,8.7,25.4%
48.0,DeAndre Hopkins (BAL),56.0,80.0,610,10.9,35.0,6.0,5.0,0.0,0.0,0.0,0.0,16.0,147.0,9.2,37.3%
49.0,Rome Odunze (CHI),54.0,101.0,734,13.6,47.0,8.0,3.0,3.0,15.0,0.0,1.0,17.0,144.9,8.5,86.9%
50.0,Ray-Ray McCloud III (ATL),62.0,87.0,686,11.1,60.0,8.0,1.0,10.0,79.0,0.0,2.0,17.0,140.5,8.3,9.4%
51.0,Tank Dell (HOU),51.0,81.0,667,13.1,50.0,9.0,3.0,9.0,43.0,0.0,0.0,14.0,140.0,10.0,23.9%
52.0,Adam Thielen (CAR),48.0,62.0,615,12.8,40.0,9.0,5.0,0.0,0.0,0.0,0.0,10.0,139.5,14.0,65.6%
