WRID,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
209.0,John Ross (FA),1.0,2.0,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,0.6%
210.0,Tyler Scott (CHI),1.0,1.0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.5,0.1,0.9%
211.0,Robbie Chosen (FA),1.0,4.0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.8,0.0%
212.0,Kameron Johnson (TB),0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,4.0,1.1,0.3,0.0%
213.0,Velus Jones Jr. (NO),1.0,1.0,8,8.0,8.0,0.0,0.0,3.0,11.0,0.0,1.0,2.0,0.9,0.5,0.0%
214.0,Brycen Tremayne (CAR),1.0,1.0,-2,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,0.4,0.0%
215.0,Makai Polk (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
216.0,Daniel Jackson (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
217.0,Cornelius Johnson (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3%
218.0,AJ Henning (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
219.0,Malik Cunningham (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1%
220.0,Arian Smith (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9%
221.0,D.J. Montgomery (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
222.0,Malik Taylor (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
223.0,Deonte Harty (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0%
224.0,Mario Williams (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
225.0,Jalen Guyton (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
226.0,Julian Fleming (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
227.0,Emeka Egbuka (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.2%
228.0,Chris Tyree (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
229.0,Traeshon Holden (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
230.0,Dante Wright (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
231.0,Beaux Collins (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
232.0,Tom Kennedy (DET),0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1%
233.0,Ja'Corey Brooks (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3%
234.0,Tarik Black (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0%
235.0,Marquez Callaway (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%
236.0,Seth Williams (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%
237.0,Lawrence Cager (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
238.0,Justyn Ross (KC),0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%
239.0,Rondale Moore (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6%
240.0,Quez Watkins (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0%
241.0,Trishton Jackson (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%
242.0,Dez Fitzpatrick (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
243.0,Andre Baccellia (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
244.0,Quintez Cephus (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0%
245.0,KJ Hamler (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0%
246.0,Donovan Peoples-Jones (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
247.0,Brandon Smith (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
248.0,Jaylen Johnson (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
249.0,Terique Owens (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
250.0,Louis Rees-Zammit (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4%
251.0,Dayton Wade (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
252.0,Jadon Janke (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
253.0,Tejhaun Palmer (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0%
254.0,Jeshaun Jones (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
255.0,Drake Stoops (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
256.0,Xavier Johnson (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
257.0,Qadir Ismail (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
258.0,John Jiles (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
259.0,John Jackson III (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
260.0,Julian Hicks (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
261.0,Cole Burgess (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0%
