RBID,Player,RushingATT,RushingYDS,YardsPerATT,Longest,20YardsorMore,RushingTD,TGT,REC,RecYDS,YardsPerRec,RecTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
98.0,Braelon Allen (NYJ),18.0,76,4.2,15.0,0.0,1.0,3.0,2.0,17.0,8.5,0.0,1.0,4.0,15.3,3.8,32.2%
99.0,Terrell Jennings (NE),23.0,73,3.2,11.0,0.0,1.0,1.0,1.0,9.0,9.0,0.0,0.0,6.0,15.2,2.5,0.6%
100.0,Alec Ingold (LAC),2.0,9,4.5,6.0,0.0,0.0,11.0,8.0,52.0,6.5,0.0,0.0,17.0,14.1,0.8,0.7%
101.0,Austin Ekeler (FA),14.0,43,3.1,6.0,0.0,0.0,7.0,5.0,38.0,7.6,0.0,0.0,3.0,13.1,4.4,9.6%
102.0,Trevor Etienne (CAR),20.0,94,4.7,22.0,1.0,0.0,3.0,3.0,13.0,4.3,0.0,1.0,17.0,11.7,0.7,7.5%
103.0,Najee Harris (LAC),15.0,61,4.1,7.0,0.0,0.0,3.0,3.0,25.0,8.3,0.0,0.0,3.0,11.6,3.9,23.7%
104.0,Kene Nwangwu (NYJ),13.0,49,3.8,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.9,1.1,0.4%
104.0,Phil Mafah (DAL),5.0,18,3.6,8.0,0.0,1.0,2.0,2.0,11.0,5.5,0.0,0.0,1.0,10.9,10.9,1.8%
106.0,Hassan Haskins (LAC),17.0,47,2.8,10.0,0.0,0.0,4.0,4.0,13.0,3.3,0.0,0.0,13.0,10.0,0.8,0.7%
107.0,Brittain Brown (CHI),5.0,37,7.4,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.7,4.9,1.6%
108.0,DJ Giddens (IND),26.0,96,3.7,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,9.6,1.1,9.6%
108.0,Zamir White (LV),12.0,32,2.7,9.0,0.0,0.0,6.0,4.0,24.0,6.0,0.0,0.0,5.0,9.6,1.9,0.9%
110.0,Corey Kiner (ARI),12.0,58,4.8,9.0,0.0,0.0,3.0,2.0,15.0,7.5,0.0,0.0,4.0,9.3,2.3,1.0%
111.0,AJ Dillon (CAR),12.0,60,5.0,11.0,0.0,0.0,3.0,3.0,21.0,7.0,0.0,1.0,7.0,9.1,1.3,1.3%
112.0,Kaleb Johnson (PIT),28.0,69,2.5,9.0,0.0,0.0,2.0,1.0,9.0,9.0,0.0,0.0,10.0,8.8,0.9,26.8%
112.0,Ty Chandler (NO),17.0,47,2.8,5.0,0.0,0.0,4.0,3.0,11.0,3.7,0.0,0.0,3.0,8.8,2.9,0.7%
114.0,British Brooks (HOU),17.0,78,4.6,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.8,0.6,0.1%
115.0,Cam Akers (SEA),5.0,19,3.8,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.2,1.8,1.0%
116.0,Khalil Herbert (FA),16.0,52,3.3,7.0,0.0,0.0,4.0,1.0,4.0,4.0,0.0,0.0,5.0,6.6,1.3,0.6%
117.0,Tahj Brooks (CIN),16.0,45,2.8,7.0,0.0,0.0,2.0,1.0,9.0,9.0,0.0,0.0,12.0,6.4,0.5,3.8%
117.0,Evan Hull (NO),19.0,48,2.5,8.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,6.0,6.4,1.1,3.4%
119.0,Tyler Goodson (ATL),9.0,24,2.7,6.0,0.0,0.0,3.0,2.0,8.0,4.0,0.0,0.0,11.0,5.2,0.5,1.0%
120.0,Reggie Gilliam (NE),2.0,4,2.0,5.0,0.0,0.0,2.0,2.0,24.0,12.0,0.0,0.0,17.0,4.8,0.3,0.2%
121.0,Ronnie Rivers (LAR),9.0,46,5.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.6,0.7,1.0%
122.0,Clyde Edwards-Helaire (FA),7.0,13,1.9,7.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,2.0,4.2,2.1,0.6%
