Position,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
TE,Teagan Quitoriano (HOU),2.0,3.0,33.0,16.5,22.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.3,0.8,0.0
TE,James Mitchell (DET),2.0,2.0,28.0,14.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,4.8,0.3,0.0
TE,Kenny Yeboah (NYJ),2.0,4.0,28.0,14.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.8,1.0,0.0
TE,Eric Saubert (HOU),3.0,3.0,12.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.2,0.5,0.0
TE,Chris Manhertz (FA),2.0,4.0,16.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.6,0.2,0.0
TE,Nick Muse (MIN),1.0,1.0,22.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,0.0
TE,Trevon Wesco (TEN),1.0,3.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.1,0.2,0.0
TE,John FitzPatrick (ATL),1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.2,0.3,0.0
TE,Ross Dwelley (SF),1.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.2,0.2,0.0
TE,Tucker Fisk (ATL),1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.9,0.3,0.0
TE,Kevin Rader (TEN),1.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.6,0.1,0.0
TE,Cole Fotheringham (LV),1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,0.8,0.0
TE,Jesper Horsted (LV),1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.4,0.3,0.0
TE,Nick Vannett (LAC),1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.3,0.2,0.0
TE,Giovanni Ricci (CAR),1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.2,0.2,0.0
TE,David Wells (TB),2.0,2.0,-10.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.0
TE,Jody Fortson (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Mitchell Fraboni (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
TE,Matt Sokol (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
TE,Matthew Orzech (GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Parker Hesse (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
TE,Albert Okwuegbunam (PHI),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1
