"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"193","Cade Johnson (SEA)","2","4","21","10.5","11","0","0","0","0","0","0","2","4.1","2.1","0.1%"
"194","Lil'Jordan Humphrey (DEN)","2","4","20","10.0","11","0","0","0","0","0","0","4","4.0","1.0","0.1%"
"195","Keith Kirkwood (NO)","2","4","18","9.0","14","0","0","0","0","0","0","3","3.8","1.3","0.1%"
"196","Dennis Houston (DAL)","2","6","16","8.0","11","0","0","0","0","0","0","2","3.6","1.8","0.0%"
"197","Quintez Cephus (DET)","2","3","15","7.5","9","0","0","0","0","0","0","3","3.5","1.2","0.2%"
"198","Nsimba Webster (CHI)","2","3","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","0.1%"
"199","Austin Trammell (LAR)","2","4","13","6.5","8","0","0","0","0","0","0","2","3.3","1.7","0.1%"
"200","Jalen Tolbert (DAL)","2","3","12","6.0","8","0","0","0","0","0","0","3","3.2","1.1","1.2%"
"201","Miles Boykin (FA)","2","3","11","5.5","11","0","0","0","0","0","0","10","3.1","0.3","0.0%"
"202","Danny Gray (SF)","1","7","10","10.0","10","0","0","1","9","0","0","7","2.9","0.4","0.2%"
"203","Juwann Winfree (FA)","1","4","17","17.0","17","0","0","0","0","0","0","3","2.7","0.9","0.0%"
"204","DJ Turner (LV)","0","1","0","0","0","0","0","4","26","0","0","6","2.6","0.4","0.0%"
"205","Frank Darby (ATL)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.2%"
"206","Tyron Johnson (SF)","1","1","8","8.0","8","0","0","0","0","0","0","2","1.8","0.9","0.1%"
"207","Jalen Camp (HOU)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"208","Maurice Alexander (DET)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"209","Braylon Sanders (MIA)","2","3","17","8.5","13","0","0","0","0","0","1","2","1.7","0.9","0.0%"
"210","C.J. Board (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","4","1.6","0.4","0.0%"
"211","Jason Moore Jr. (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"212","Erik Ezukanma (MIA)","1","1","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.2%"
"213","Deonte Harty (BUF)","2","2","13","6.5","9","0","0","0","0","0","1","4","1.3","0.3","0.5%"
"214","Mason Kinsey (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","2","1.3","0.7","0.1%"
"215","Cody White (PIT)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"216","Keke Coutee (FA)","1","1","20","20.0","20","1","0","0","0","0","1","7","1.0","0.1","0.0%"
"217","Ihmir Smith-Marsette (KC)","1","4","15","15.0","15","0","0","1","-1","0","1","4","0.4","0.1","0.1%"
"218","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"219","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Lance McCutcheon (LAR)","0","5","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"221","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"222","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.8%"
