"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"77","Quintin Morris (JAC)","5","8","36","7.2","14","0","1","0","0","0","0","16","14.6","0.9","0.0%"
"78","John Bates (WAS)","8","13","84","10.5","20","1","0","0","0","0","1","17","14.4","0.8","0.6%"
"79","Durham Smythe (CHI)","9","17","53","5.9","8","0","0","0","0","0","0","17","14.3","0.8","0.1%"
"80","Devin Culp (TB)","5","6","88","17.6","26","2","0","0","0","0","0","5","13.8","2.8","0.9%"
"81","Ben Sinnott (WAS)","5","5","28","5.6","12","0","1","0","0","0","0","17","13.8","0.8","21.5%"
"82","Hunter Long (JAC)","7","9","60","8.6","18","0","0","0","0","0","0","17","13.0","0.8","0.1%"
"83","Pharaoh Brown (MIA)","8","12","65","8.1","17","0","0","0","0","0","1","15","12.5","0.8","0.1%"
"84","Chris Manhertz (NYG)","3","4","30","10.0","16","0","1","0","0","0","0","17","12.0","0.7","0.1%"
"85","Gerald Everett (FA)","8","13","36","4.5","17","0","0","0","0","0","0","17","11.6","0.7","0.7%"
"86","Charlie Woerner (ATL)","7","12","46","6.6","13","0","0","0","0","0","0","16","11.6","0.7","0.1%"
"87","Luke Musgrave (GB)","7","10","45","6.4","19","0","0","0","0","0","0","7","11.5","1.6","14.4%"
"88","Tucker Fisk (LAC)","7","8","39","5.6","10","0","0","0","0","0","0","9","10.9","1.2","0.6%"
"89","Peyton Hendershot (FA)","5","5","51","10.2","15","0","0","0","0","0","0","7","10.1","1.4","0.0%"
"90","Davis Allen (LAR)","6","13","39","6.5","13","0","0","0","0","0","0","14","9.9","0.7","0.7%"
"91","Tip Reiman (ARI)","6","7","37","6.2","14","0","0","0","0","0","0","17","9.7","0.6","0.1%"
"92","Ben Sims (GB)","4","5","42","10.5","28","1","0","0","0","0","0","17","8.2","0.5","0.0%"
"93","Cam Grandy (CIN)","5","5","28","5.6","9","0","0","0","0","0","0","8","7.8","1.0","0.0%"
"94","Greg Dulcich (NYG)","5","12","28","5.6","9","0","0","0","0","0","0","9","7.8","0.9","4.0%"
"95","E.J. Jenkins (PHI)","1","2","7","7.0","7","0","1","0","0","0","0","8","7.7","1.0","1.0%"
"96","Will Mallory (IND)","4","8","29","7.3","10","0","0","0","0","0","0","10","6.9","0.7","0.6%"
"97","Dallin Holker (NO)","3","4","21","7.0","10","0","0","0","0","0","0","12","5.1","0.4","1.0%"
"98","Tanner Conner (MIA)","3","4","16","5.3","11","0","0","0","0","0","0","7","4.6","0.7","1.0%"
"99","Josiah Deguara (ARI)","3","3","14","4.7","8","0","0","0","0","0","0","13","4.4","0.3","0.0%"
"100","Jaheim Bell (NE)","2","3","20","10.0","19","0","0","0","0","0","0","13","4.0","0.3","1.1%"
"101","Ian Thomas (LV)","3","6","7","2.3","3","0","0","0","0","0","0","5","3.7","0.7","0.0%"
"102","Shane Zylstra (DET)","1","1","22","22.0","22","1","0","0","0","0","0","12","3.2","0.3","0.6%"
"103","Jack Stoll (NO)","2","3","10","5.0","6","0","0","0","0","0","0","9","3.0","0.3","0.0%"
"104","Eric Tomlinson (FA)","2","4","9","4.5","7","0","0","0","0","0","0","9","2.9","0.3","0.1%"
"105","Brevin Jordan (HOU)","2","3","7","3.5","4","0","0","0","0","0","0","2","2.7","1.4","0.7%"
"106","Jared Wiley (KC)","1","1","7","7.0","7","0","0","0","0","0","0","7","1.7","0.2","1.1%"
"107","Geoff Swaim (FA)","1","1","7","7.0","7","0","0","0","0","0","0","8","1.7","0.2","0.0%"
"108","John Samuel Shenker (FA)","1","1","7","7.0","7","0","0","0","0","0","0","7","1.7","0.2","0.1%"
"109","David Martin-Robinson (TEN)","1","2","6","6.0","6","0","0","0","0","0","0","5","1.6","0.3","0.0%"
"110","Zach Davidson (BUF)","1","2","5","5.0","5","0","0","0","0","0","0","3","1.5","0.5","0.6%"
"111","Jody Fortson Jr. (FA)","1","3","5","5.0","5","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"112","Ross Dwelley (SF)","1","1","5","5.0","5","0","0","0","0","0","0","14","1.5","0.1","0.0%"
"113","Marcedes Lewis (FA)","1","2","2","2.0","2","0","0","0","0","0","0","17","1.2","0.1","0.0%"
"114","John FitzPatrick (GB)","1","1","2","2.0","2","0","0","0","0","0","0","9","1.2","0.1","0.0%"
"115","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"116","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"117","Dominique Dafney (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"119","Tre' McKitty (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Feleipe Franks (ATL)","1","3","12","12.0","12","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"121","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Tyler Mabry (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"123","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Mitchell Wilcox (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"125","Stephen Sullivan (CAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Parker Hesse (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"127","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"128","McCallan Castles (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Mason Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.2%"
"130","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"131","Mason Pline (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Brenden Bates (CLE)","0","1","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"135","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"136","Tyler Warren (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.4%"
"137","Colston Loveland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.8%"
"138","Neal Johnson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","1.0%"
"140","Joel Wilson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Brayden Willis (SF)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"142","Gavin Bartholomew (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"143","Bryson Nesbit (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Oronde Gadsden II (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1%"
"145","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"148","Jordan Murray (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Johnny Lumpkin (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Caleb Lohner (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"152","Patrick Herbert (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Tyler Neville (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Jimmy Bell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Stevo Klotz (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Oscar Cardenas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Bryce Pierre (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Jordan Petaia (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Carter Runyon (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Jackson Hawes (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"162","John Copenhaver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","DJ Thomas-Jones (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Rivaldo Fairweather (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Ben Yurosek (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Drake Dabney (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Max Mang (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Reggie Brown (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Sam Pitz (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Nick Kallerup (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Jermaine Terry II (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Tre Watson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","JJ Galbreath (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Zach Horton (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Kole Taylor (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Marshall Lang (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Anthony Torres (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Pat Conroy (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Gee Scott Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Joshua Simon (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Harold Fannin Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.7%"
"182","Hayden Rucci (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Mitchell Evans (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"184","Qadir Ismail (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Shawn Bowman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Gunnar Helm (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.4%"
"187","CJ Dippre (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Keleki Latu (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"190","Cole Turner (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"191","Michael Jacobson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Elijah Arroyo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.3%"
"194","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
